id;author;about_author;title;category;publish_date;price;isbn;author_image;author_image_content_type;cover_image;cover_image_content_type
1;peppery hovercraft;nearly;abaft indeed frightened;augment yowza;2025-11-29;30334.47;bravely hmph too;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png
2;instead;indeed boohoo;times afterwards yowza;ew flustered;2025-11-29;9765.86;forenenst;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png
3;unlike geez given;suspiciously;phooey offend fork;tenement summary what;2025-11-29;1148.15;though;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png
4;eek;furthermore;pressure dependable;minister steeple great;2025-11-29;11109.72;for within meh;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png
5;daintily but hm;webbed implode;dimly versus because;nor;2025-11-28;7631.84;to instead;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png
6;doorpost queasily highly;agitated exalted;ah tooth lift;enthusiastically worldly tooth;2025-11-29;4943.25;draft apropos delectable;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png
7;yowza pfft;near orchid;knottily;than pasta;2025-11-28;6058.85;row;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png
8;smoggy weekly frankly;individual forgo label;slow;cosset pfft cleverly;2025-11-29;18136.74;immediate;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png
9;barring;admonish cooperative jovially;regarding successfully notwithstanding;incidentally;2025-11-29;24845.42;obnoxiously jaunty;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png
10;digitize geez;er acquaintance bookend;because;unbearably blank;2025-11-29;20324.19;furthermore;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png
